search_term,status,status_no_spaces,n_youtube_videos,n_youtube_channels,n_youtube_videos_no_spaces,n_youtube_channels_no_spaces
anti-vax,Full,,340458.0,59.0,,
anti-vaxx,Full,,22240.0,17.0,,
climate change,Full,,8687770.0,40106.0,,
climate denial,Full,,1587722.0,37.0,,
hiking gear reviews,Full,,1599289.0,732.0,,
rohingya genocide,Full,,248872.0,14.0,,
stop the steal,Full,,19563011.0,57346.0,,
terrorists,Full,,7728461.0,14494.0,,
terrorists acts,Full,,1604563.0,6.0,,
terrorists attack,Full,,1635072.0,58.0,,
terrorists hostage,Full,,1606098.0,9.0,,
terrorists recruitment,Full,,210804.0,1.0,,
uyghur genocide,Full,,75452.0,17.0,,
voter fraud,Full,,2199847.0,481.0,,
white nationalists,Full,,184113.0,15.0,,
yazidi genocide,Full,,26672.0,1.0,,
kikes,Blocked,,,,,
nazi extermination camps,Blocked,,,,,
nazi germany,Blocked,,,,,
nazi propoganda,Blocked,,,,,
nazi scientist,Blocked,,,,,
nazis,Blocked,,,,,
nazism,Blocked,,,,,
neo nazi,Blocked,,,,,
neo-confederates,Blocked,,,,,
neo-nazis,Blocked,,,,,
neonazi,Blocked,,,,,
niggers,Blocked,,,,,
praise terrorism,Blocked,,,,,
praise terrorist,Blocked,,,,,
recruit terrorist,Blocked,,,,,
stolen election,Blocked,,,,,
terrorism acts,Blocked,,,,,
terrorism attack,Blocked,,,,,
wetbacks,Blocked,,,,,
white pills,Blocked,,,,,
ww2 nazis,Blocked,,,,,
