search_term,status,status_no_spaces,n_youtube_videos,n_youtube_channels,n_youtube_videos_no_spaces,n_youtube_channels_no_spaces
hiking gear reviews,Full,,780839.0,291.0,,
white nationalists,Empty,,0.0,0.0,,
voter fraud,Empty,,0.0,0.0,,
terrorists recruitment,Empty,,0.0,0.0,,
terrorists hostage,Empty,,0.0,0.0,,
terrorists attack,Empty,,0.0,0.0,,
terrorists acts,Empty,,0.0,0.0,,
terrorists,Empty,,0.0,0.0,,
stop the steal,Empty,,0.0,0.0,,
sharia,Empty,,0.0,0.0,,
jewish fashion,Empty,,0.0,0.0,,
christian parenting,Empty,,0.0,0.0,,
christian fashion,Empty,,0.0,0.0,,
buddhist fashion,Empty,,0.0,0.0,,
blue lives matter,Empty,,0.0,0.0,,
black nationalist,Empty,,0.0,0.0,,
black nationalism,Empty,,0.0,0.0,,
black chrsitian,Empty,,0.0,0.0,,
all lives matter,Empty,,0.0,0.0,,
praise terrorism,Blocked,Empty,,,0.0,0.0
nazi propoganda,Blocked,Empty,,,0.0,0.0
jewish solidarity,Blocked,Empty,,,0.0,0.0
buddhist parenting,Blocked,Empty,,,0.0,0.0
black muslims,Blocked,Empty,,,0.0,0.0
black christian,Blocked,Empty,,,0.0,0.0
ww2 nazis,Blocked,,,,,
white pills,Blocked,,,,,
white christian,Blocked,,,,,
wetbacks,Blocked,,,,,
terrorism attack,Blocked,,,,,
terrorism acts,Blocked,,,,,
stolen election,Blocked,,,,,
sexuality,Blocked,,,,,
sexual education,Blocked,,,,,
scientology,Blocked,,,,,
recruit terrorist,Blocked,,,,,
praise terrorist,Blocked,,,,,
niggers,Blocked,,,,,
neonazi,Blocked,,,,,
neo-nazis,Blocked,,,,,
neo-confederates,Blocked,,,,,
neo nazi,Blocked,,,,,
nazism,Blocked,,,,,
nazis,Blocked,,,,,
nazi scientist,Blocked,,,,,
nazi germany,Blocked,,,,,
nazi extermination camps,Blocked,,,,,
kikes,Blocked,,,,,
jewish parenting,Blocked,,,,,
jewish american,Blocked,,,,,
christian solidarity,Blocked,,,,,
christian american,Blocked,,,,,
buddhist,Blocked,,,,,
buddhism,Blocked,,,,,
black jew,Blocked,,,,,
black buddhist,Blocked,,,,,
american muslims,Blocked,,,,,
